ID,Question,Difficulty,Topic,Role,Answer
1,"Em hãy giải thích khái niệm ""biến toàn cục"" và ""biến cục bộ""?",Dễ,Programming Fundamentals,Software Engineer,Biến toàn cục được khai báo ngoài tất cả các hàm và có thể được truy cập ở bất kỳ đâu trong chương trình. Biến cục bộ được khai báo trong một hàm và chỉ sử dụng trong phạm vi hàm đó.
2,Sự khác nhau giữa array và linked list là gì?,Trung bình,Data Structure,Software Engineer,"Array có kích thước cố định, truy cập nhanh bằng chỉ số. Linked list có thể thay đổi kích thước linh hoạt, nhưng truy cập chậm hơn vì phải duyệt từng node."
3,Em sẽ sử dụng sorting algorithm nào nếu dữ liệu gần như đã được sắp xếp?,Trung bình,Algorithms,Software Engineer,Insertion Sort hoạt động hiệu quả với dữ liệu gần như được sắp xếp vì độ phức tạp trung bình gần O(n).
4,Em hãy viết một hàm Python để kiểm tra chuỗi Palindrome.,Trung bình,Coding,Software Engineer,def is_palindrome(s): return s == s[::-1]
5,REST API là gì? So sánh với SOAP API.,Trung bình,Web & API,Software Engineer,"REST API là giao diện lập trình sử dụng HTTP, đơn giản và không trạng thái. SOAP API phức tạp hơn, sử dụng XML và cần nhiều cấu hình."
6,Em hãy mô tả kiến trúc Client-Server.,Dễ,Computer Network,Software Engineer,Client gửi yêu cầu tới Server; Server xử lý và gửi phản hồi về Client. Đây là mô hình phân tán phổ biến.
7,Em hãy giải thích mô hình supervised learning.,Dễ,Machine Learning Basics,Data Science,"Supervised learning là mô hình học có giám sát, huấn luyện trên dữ liệu đã có nhãn để dự đoán đầu ra."
8,Sự khác biệt giữa classification và regression là gì?,Dễ,ML Task Types,Data Science,"Classification dự đoán nhãn phân loại (ví dụ: spam/không spam), còn regression dự đoán giá trị liên tục (ví dụ: giá nhà)."
9,Em có biết về overfitting không? Em xử lý nó như thế nào?,Trung bình,Model Evaluation,Data Science,"Overfitting là hiện tượng mô hình học quá chi tiết và không tổng quát được. Có thể xử lý bằng regularization, cross-validation, hoặc tăng dữ liệu huấn luyện."
10,Hãy nêu các bước xử lý dữ liệu trước khi đưa vào huấn luyện (data preprocessing).,Trung bình,Data Preparation,Data Science,"Các bước gồm: làm sạch dữ liệu, xử lý missing values, chuẩn hóa hoặc chuẩn hoá, mã hoá biến phân loại, chia train/test."
